Country,Population,GDP_per_capita,infection_threshold_date,vaccination_threshold_date,infection_speed_pm,vaccination_speed_pm
Kazakhstan,18798667.0,,2020-05-30,2021-02-08,20.279806718919666,107.19717282841931
Kenya,53881160.0,,2020-07-12,2021-03-15,,344.2646330884075
Kuwait,4276658.0,,2020-05-12,2021-01-04,188.27006196583093,628.6464213707144
Kyrgyzstan,6534479.0,,2020-07-11,2021-04-17,,216.2065290606219
Laos,7285750.0,,,2021-03-17,,437.3276601585286
Latvia,1883936.0,,,2021-01-12,,455.376403444703
Lebanon,6822220.0,,,2021-02-19,,611.1940101609154
Lesotho,2143943.0,,,2021-04-03,,254.90330327966458
Liberia,5068618.0,,,2021-05-12,,184.73312975384349
Libya,6880353.0,,,2021-04-20,,748.1760623357205
Liechtenstein,38139.0,,,2021-04-21,,7539.089470970223
Lithuania,2718121.0,,,2021-01-05,,1325.3641026282494
Luxembourg,626952.0,,,2021-01-27,,1431.9012194447637
Macao,650193.0,,,2021-02-25,,1754.197087121311
Madagascar,27755708.0,,,2021-05-20,,205.05659992932306
Malawi,19174839.0,,,2021-03-19,,421.434220821011
Malaysia,32406372.0,,,2021-02-27,,634.5871320204146
Maldives,541448.0,,,2021-02-08,,10005.392946321714
Mali,20302901.0,,,2021-04-06,,96.75016997851776
Malta,441663.0,,,2021-01-17,,3321.0841750384343
Mauritania,4660728.0,,,2021-04-26,,131.9325194050344
Mauritius,1271985.0,,,2021-02-19,,2548.996815438637
Mexico,129066160.0,,2020-04-22,2020-12-29,13.425414273320495,165.11247668121013
Moldova,4032983.0,,2020-06-09,2021-03-13,71.41942659647546,459.99036775838965
Monaco,39270.0,,,2021-02-13,,6271.963330786858
Mongolia,3283344.0,,,2021-03-03,,3170.796805533221
Montenegro,628074.0,,,2021-03-24,,2543.330881392957
Montserrat,4992.0,,,,,
Morocco,36953359.0,,2020-06-22,2021-01-29,7.026875869840863,3296.7472140579516
Mozambique,31333962.0,,,2021-03-09,,146.173804782314
Myanmar,54446389.0,,,2021-01-28,,369.3473524870424
